algorithm,model,relative_path,description
algo2,openai-gpt-4o,algo2/openai-gpt-4o/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for openai-gpt-4o."
algo2,openai-gpt-4o,algo2/openai-gpt-4o/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for openai-gpt-4o."
algo2,all,algo2_metric_rows.csv,"Long-format metric rows for all algo2 models, suitable for external plotting tools. Columns: source_input, algorithm, model, factor columns, metric, value."
algo3,deepseek-chat-v3.1,algo3/deepseek-chat-v3.1/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for deepseek-chat-v3.1."
algo3,deepseek-v3-chat-0324,algo3/deepseek-v3-chat-0324/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for deepseek-v3-chat-0324."
algo3,gemini-2.0-flash-exp,algo3/gemini-2.0-flash-exp/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for gemini-2.0-flash-exp."
algo3,google-gemini-2.5-pro,algo3/google-gemini-2.5-pro/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for google-gemini-2.5-pro."
algo3,gpt-5,algo3/gpt-5/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for gpt-5."
algo3,openai-gpt-4o,algo3/openai-gpt-4o/distributional_summary.csv,"Distributional summary (n, mean, std, 95% CI, median, quartiles, min, max) per metric for openai-gpt-4o."
algo3,all,algo3_metric_rows.csv,"Long-format metric rows for all algo3 models, suitable for external plotting tools. Columns: source_input, algorithm, model, factor columns, metric, value."
